Player;Tm;Opp;Res;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;GmSc;Data
Nikola Jokic;DEN;LAL;W;36.27;12;22;0.545;3;5;0.6;2;4;0.5;3;10;13;11;1;1;2;2;29;29.3;24/10/2023
Devin Booker;PHO;GSW;W;36.97;13;21;0.619;3;8;0.375;3;3;1.0;1;5;6;8;1;0;6;4;32;23.7;24/10/2023
LeBron James;LAL;DEN;L;29.0;10;16;0.625;1;4;0.25;0;1;0.0;1;7;8;5;1;0;0;1;21;20.3;24/10/2023
Aaron Gordon;DEN;LAL;W;34.98;7;11;0.636;1;2;0.5;0;0;0.0;2;5;7;5;2;1;0;0;15;19.2;24/10/2023
Jamal Murray;DEN;LAL;W;34.25;8;13;0.615;3;5;0.6;2;2;1.0;0;2;2;6;0;1;1;3;21;18.4;24/10/2023
Taurean Prince;LAL;DEN;L;29.88;6;8;0.75;4;6;0.667;2;2;1.0;1;2;3;1;0;1;1;0;18;16.5;24/10/2023
Stephen Curry;GSW;PHO;L;30.75;8;20;0.4;4;14;0.286;7;7;1.0;1;4;5;1;1;0;2;5;27;15.8;24/10/2023
Jusuf Nurkic;PHO;GSW;W;27.87;5;8;0.625;1;2;0.5;3;3;1.0;3;11;14;3;0;1;1;5;14;15.6;24/10/2023
Josh Okogie;PHO;GSW;W;31.63;7;9;0.778;1;1;1.0;2;2;1.0;4;1;5;1;1;0;2;2;17;15.5;24/10/2023
Kentavious Caldwell-Pope;DEN;LAL;W;36.25;8;12;0.667;2;3;0.667;2;2;1.0;1;1;2;1;3;1;3;5;20;15.2;24/10/2023
Chris Paul;GSW;PHO;L;34.22;4;15;0.267;0;6;0.0;6;7;0.857;1;5;6;9;2;0;1;0;14;14.2;24/10/2023
Austin Reaves;LAL;DEN;L;31.33;4;11;0.364;1;2;0.5;5;7;0.714;4;4;8;4;2;0;2;2;14;13.1;24/10/2023
Michael Porter;DEN;LAL;W;30.13;5;13;0.385;2;9;0.222;0;0;0.0;2;10;12;2;2;0;0;1;12;12.3;24/10/2023
Moses Moody;GSW;PHO;L;17.98;4;6;0.667;2;4;0.5;1;2;0.5;1;2;3;0;3;1;1;1;11;11.6;24/10/2023
Anthony Davis;LAL;DEN;L;34.15;6;17;0.353;1;2;0.5;4;4;1.0;1;7;8;4;0;2;2;3;17;11.3;24/10/2023
Jonathan Kuminga;GSW;PHO;L;20.13;4;8;0.5;0;0;0.0;4;6;0.667;3;3;6;1;2;1;2;5;12;9.6;24/10/2023
Kevin Durant;PHO;GSW;W;36.78;7;22;0.318;1;2;0.5;3;5;0.6;2;9;11;3;0;1;2;1;18;9.1;24/10/2023
Kevon Looney;GSW;PHO;L;27.97;3;6;0.5;0;0;0.0;1;1;1.0;5;6;11;1;0;0;2;2;7;7.2;24/10/2023
Cam Reddish;LAL;DEN;L;17.63;2;4;0.5;1;2;0.5;2;2;1.0;2;2;4;0;0;1;0;2;7;6.9;24/10/2023
D'Angelo Russell;LAL;DEN;L;36.18;4;12;0.333;2;5;0.4;1;2;0.5;0;4;4;7;1;0;3;3;11;6.7;24/10/2023
Klay Thompson;GSW;PHO;L;36.27;6;18;0.333;3;11;0.273;0;0;0.0;1;6;7;3;0;1;3;3;15;5.9;24/10/2023
Yuta Watanabe;PHO;GSW;W;17.88;3;5;0.6;2;4;0.5;0;0;0.0;0;4;4;0;0;1;1;2;8;5.8;24/10/2023
Christian Wood;LAL;DEN;L;15.47;3;4;0.75;0;1;0.0;1;2;0.5;1;3;4;0;0;0;1;1;7;5.2;24/10/2023
Dario Saric;GSW;PHO;L;20.03;3;11;0.273;1;3;0.333;0;0;0.0;4;3;7;1;0;2;0;3;7;5.1;24/10/2023
Reggie Jackson;DEN;LAL;W;24.07;3;8;0.375;2;5;0.4;0;0;0.0;0;3;3;1;1;0;2;0;8;4.2;24/10/2023
Christian Braun;DEN;LAL;W;19.33;2;5;0.4;0;1;0.0;1;2;0.5;1;2;3;2;0;1;1;1;5;3.9;24/10/2023
Drew Eubanks;PHO;GSW;W;19.23;1;3;0.333;0;0;0.0;2;4;0.5;2;5;7;2;0;3;3;3;4;3.7;24/10/2023
Nassir Little;PHO;GSW;W;2.88;1;1;1.0;1;1;1.0;0;0;0.0;0;1;1;0;1;0;0;1;3;3.6;24/10/2023
Andrew Wiggins;GSW;PHO;L;27.28;4;12;0.333;0;3;0.0;2;3;0.667;1;0;1;0;0;1;0;3;10;3.0;24/10/2023
Eric Gordon;PHO;GSW;W;31.65;4;16;0.25;2;9;0.222;0;0;0.0;1;3;4;1;1;1;1;2;10;2.6;24/10/2023
Jordan Goodwin;PHO;GSW;W;14.18;1;4;0.25;0;1;0.0;0;0;0.0;1;3;4;3;1;0;2;0;2;2.3;24/10/2023
Gary Payton;GSW;PHO;L;21.67;0;5;0.0;0;2;0.0;1;2;0.5;0;2;2;2;3;0;0;1;1;1.7;24/10/2023
Jalen Pickett;DEN;LAL;W;0.72;1;1;1.0;0;0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;2;1.7;24/10/2023
Gabe Vincent;LAL;DEN;L;22.3;3;8;0.375;0;4;0.0;0;0;0.0;1;0;1;2;1;0;2;3;6;1.5;24/10/2023
Cory Joseph;GSW;PHO;L;3.7;0;0;0.0;0;0;0.0;0;0;0.0;1;0;1;1;0;0;0;0;0;1.4;24/10/2023
Zeke Nnaji;DEN;LAL;W;11.73;1;3;0.333;0;1;0.0;2;2;1.0;0;0;0;1;0;0;1;2;4;1.2;24/10/2023
Rui Hachimura;LAL;DEN;L;14.65;3;10;0.3;0;3;0.0;0;0;0.0;2;1;3;0;0;0;0;2;6;1.1;24/10/2023
Peyton Watson;DEN;LAL;W;10.83;1;3;0.333;1;3;0.333;0;0;0.0;0;0;0;0;0;1;1;1;3;0.6;24/10/2023
Max Christie;LAL;DEN;L;1.25;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;0.0;24/10/2023
Collin Gillespie;DEN;LAL;W;0.72;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;0.0;24/10/2023
Braxton Key;DEN;LAL;W;0.72;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;0.0;24/10/2023
Maxwell Lewis;LAL;DEN;L;1.25;0;0;0.0;0;0;0.0;0;0;0.0;0;0;0;0;0;0;0;0;0;0.0;24/10/2023
Jaxson Hayes;LAL;DEN;L;6.9;0;0;0.0;0;0;0.0;0;0;0.0;0;1;1;0;0;0;0;1;0;-0.1;24/10/2023
Grayson Allen;PHO;GSW;W;20.92;0;6;0.0;0;5;0.0;0;0;0.0;3;1;4;2;0;0;1;2;0;-2.2;24/10/2023
Shai Gilgeous-Alexander;OKC;CHI;W;36.02;12;18;0.667;2;5;0.4;5;5;1.0;0;5;5;10;1;2;1;0;31;33.1;25/10/2023
Luka Doncic;DAL;SAS;W;34.23;13;25;0.52;3;11;0.273;4;7;0.571;1;12;13;10;2;0;4;1;33;28.4;25/10/2023
Harrison Barnes;SAC;UTA;W;33.43;11;16;0.688;5;7;0.714;6;6;1.0;0;4;4;2;1;0;1;2;33;28.0;25/10/2023
Cam Thomas;BRK;CLE;L;25.13;13;21;0.619;2;5;0.4;8;11;0.727;0;3;3;2;1;0;1;0;36;27.6;25/10/2023
Donovan Mitchell;CLE;BRK;W;35.73;11;21;0.524;4;10;0.4;1;1;1.0;2;3;5;6;4;1;0;1;27;27.5;25/10/2023
Jayson Tatum;BOS;NYK;W;38.65;13;22;0.591;3;8;0.375;5;6;0.833;0;11;11;4;2;1;4;3;34;27.0;25/10/2023
Kristaps Porzings;BOS;NYK;W;37.88;8;15;0.533;5;9;0.556;9;10;0.9;1;7;8;0;0;4;1;4;30;25.3;25/10/2023
Desmond Bane;MEM;NOP;L;36.13;11;22;0.5;5;10;0.5;4;5;0.8;0;5;5;5;2;1;2;1;31;24.9;25/10/2023
Max Strus;CLE;BRK;W;38.97;9;17;0.529;7;13;0.538;2;2;1.0;0;12;12;2;1;1;0;4;27;23.8;25/10/2023
Paul George;LAC;POR;W;31.63;11;17;0.647;4;7;0.571;1;1;1.0;0;3;3;6;3;0;4;2;27;22.8;25/10/2023
Domantas Sabonis;SAC;UTA;W;32.13;8;14;0.571;1;2;0.5;5;7;0.714;6;6;12;5;1;2;3;3;22;22.3;25/10/2023
Immanuel Quickley;NYK;BOS;L;28.0;7;11;0.636;5;7;0.714;5;6;0.833;2;4;6;4;1;0;2;3;24;21.9;25/10/2023
CJ McCollum;NOP;MEM;W;37.33;8;16;0.5;6;11;0.545;2;2;1.0;1;3;4;6;2;1;2;3;24;21.3;25/10/2023
Ivica Zubac;LAC;POR;W;25.6;8;10;0.8;0;0;0.0;4;5;0.8;5;7;12;0;0;4;2;3;20;21.0;25/10/2023
Jalen Johnson;ATL;CHO;L;29.4;9;13;0.692;1;3;0.333;2;4;0.5;0;7;7;2;2;1;0;1;21;20.5;25/10/2023
Bruce Brown;IND;WAS;W;27.2;8;11;0.727;6;8;0.75;2;2;1.0;1;2;3;1;1;0;1;3;24;20.3;25/10/2023
